split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.6966469029307026,0.3127736931567945,0.9082273075996475,0.11682550141961567,0.9351225636381276,0.10376780111752626,0.24659083755432631,0.7177277769332312
2,0.6283400568859326,0.2977520319105987,0.8522334588376929,0.1567206120482364,0.8580118906986629,0.14720267420180477,0.1747748211214649,0.5893328094817096
3,0.5784817506796166,0.3654219806029473,0.792965329288502,0.19416931662332504,0.7839431561707668,0.1964480276029783,0.158536766579581,0.7056485975825428
4,0.6028147214540698,0.2756986755260477,0.8139966106287906,0.16093189644678563,0.7907253849903352,0.1732552673119736,0.2037221687430891,0.4929088628194036
