split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.008137041700060547,-0.7520062711534967,0.003335207908485188,-4.068637550780732,0.010328885036394462,0.8977982891306266,0.010747032155302042,0.9148204481897022
2,0.09566157239841445,-0.8465257384028563,0.0002796600812590094,0.9995563524019487,0.22385370194566204,-4.051850566249866,0.06285135516832384,0.5127169986392699
3,0.0004148960339479489,0.9876417196053855,0.00010660368527752411,0.9893627370542745,0.0004607796005420839,0.9900221464479345,0.0006773048160242361,0.9835402753139478
4,0.0005452219400586591,0.9805565757788665,9.090089017276898e-05,0.9973949569078839,0.0012460949295024528,0.9666042949109224,0.0002986700005007555,0.9776704755177923
