split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.6733929155622556,0.0613083035154934,0.767043018549375,0.23819915080495246,0.7916585359160806,0.22142050121952772,0.4614771922212985,-0.275694741477998
2,0.7777088442961378,0.053963574481883936,0.7731138854253594,0.250179939823878,0.7983450482131439,0.2396737485415501,0.7616675992498951,-0.32796296491973775
3,0.5663558066170935,0.37450522088563715,0.7332422333699663,0.25021307257057057,0.7211900121812244,0.24432485578098018,0.24463517430009393,0.6289777343053606
4,0.6513519940877526,-0.046764404901902555,0.7282711283668968,0.24642563164114617,0.6949233171403615,0.25237291073168266,0.5308615367560241,-0.6390917570785766
