split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.02902395829508309,-8.794215582776998,0.018866087200448745,-27.809656574829717,0.03429736774827621,0.6902472038848186,0.03390841993652342,0.736762622614902
2,0.030477411772583365,0.759427918107951,0.045002952905712164,0.9289705778191909,0.022915253754693752,0.5278506679150745,0.023514028657345115,0.8214625085895902
3,0.00451765742201611,0.6230017998072318,0.010789929179284995,-0.07483665596111688,0.002378685408697575,0.9529921162804115,0.0003843576780660245,0.9908499391023912
4,0.0012116943957203134,0.9536611818796343,0.0017599628414329683,0.9498101828479572,0.0009955662812169874,0.9756277130435179,0.0008795540645109869,0.9355456497474307
