split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.01859610921859775,0.4318212028137989,0.030402166544351125,0.4277241427530807,0.021506448311036822,0.10387100245329961,0.0038797128004049797,0.7638684632349917
2,0.021174389468459554,0.34999356183379465,0.03925759497641908,0.252771629268262,0.018934344636409924,0.12044328474306443,0.005331228792549628,0.6767657714900608
3,0.01745728872121189,0.42781038822810563,0.02967195100516877,0.4328273951156536,0.01908862152299364,0.10969153126757003,0.0036112936354737524,0.7409122383010838
4,0.01721037864821101,0.4358022562154673,0.028920808157695422,0.44840951988796496,0.01916804456105653,0.10738168641604029,0.0035422832258809153,0.7516155623424032
