split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.009990495176506586,-6.128983793164011,0.013843452977047001,-20.25043741737846,0.00441353526825283,0.9563312395210324,0.011714497284219805,0.9071547983686331
2,0.02674982689256387,0.4741755833778741,0.00017829743185982942,0.9997171558682204,0.0644729617602717,-0.456250726242321,0.015598221485560101,0.8790603205077162
3,0.0005919586901236325,0.9768302119786809,0.00036521860664509353,0.9635289041751383,0.00046971305367208866,0.9898290164889618,0.0009409444100537145,0.9771327152719427
4,0.0006305309241746659,0.9761920048064493,0.0004414244728357329,0.9873499719185473,0.0010359702313526707,0.9722143026359654,0.0004141980683355897,0.969011739864836
