split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.007173893201247238,0.35477790763670214,0.0011507151408803658,-0.748783923928521,0.012913324772017306,0.872225910147924,0.007457639690844344,0.9408917366907278
2,0.11343902421541015,-1.0675945653533514,0.002849899720359079,0.9954789716146395,0.24178003757429747,-4.456405719947033,0.09568713535157868,0.2581430522722148
3,0.0003017486203499866,0.992283603777791,3.049229603239066e-05,0.9969573793826072,0.0004349429126599121,0.990581621493391,0.0004398106523576497,0.9893118104573748
4,0.0014293437962366422,0.9559989269155516,0.00019571017363560693,0.9943913262574517,0.003743736195412669,0.8996667854484991,0.00034858501966157597,0.9739386690407015
