split,mse_total,r2_total,mse_x,r2_x,mse_y,r2_y,mse_z,r2_z
1,0.5867763131423029,0.36096387242577155,0.8104538912667052,0.2067831978819351,0.8396392424229391,0.19543042696087998,0.11023580573726888,0.6806779924344943
2,0.5442362811228979,0.4279583476901329,0.7711795567915327,0.22403987332386643,0.7735591355099728,0.22220335159707405,0.08797015106719856,0.8376318181494584
3,0.5356499253425746,0.3587773360977695,0.7707136998696161,0.21395225267256934,0.7574117640734228,0.21835689246789092,0.07882431208468388,0.6440228631528614
4,0.5260042977879763,0.36820330021245296,0.7524716578364388,0.23234362830395094,0.7494425068810437,0.2226999132465639,0.0760987286464365,0.6495663590868426
